id,name,category,stats,effects
DA_AdaptiveHelm,Adaptive Helm,Completed,"{""ap"": 15, ""armor"": 20, ""mr"": 20, ""mana"": 15}","Gain an additional 15% Mana from all sources. The wearer gains an additional bonus based on their Role: Tanks/Fighter: Gain 35 Armor and Magic Resistance. Other Roles: Gain 15 Attack Damage and Ability Power."
DA_ArchangelsStaff,Archangel's Staff,Completed,"{""ap"": 20, ""mana"": 15}","Combat start: Gain 30 Ability Power every 5 seconds in combat."
DA_Bloodthirster,Bloodthirster,Completed,"{""ad"": 20, ""mr"": 20, ""ap"": 15, ""omnivamp_percent"": 20}","Once per combat at 40% Health, gain a 25% max Health Shield that lasts up to 5 seconds."
DA_BlueBuff,Blue Buff,Completed,"{""mana"": 20, ""ad"": 15, ""ap"": 15}","Max Mana reduced by 10. After scoring a takedown, deal 8% more damage for 8 seconds."
DA_BrambleVest,Bramble Vest,Completed,"{""armor"": 55}","Gain 7% max health. Take 8% reduced damage from attacks. When struck by any attack, deal 100 magic damage to all adjacent enemies. Cooldown: 2 seconds"
DA_Crownguard,Crownguard,Completed,"{""armor"": 20, ""ap"": 20, ""hp"": 100}","Combat start: Gain a 25% max Health Shield for 8 seconds. When the shield expires, gain 25 Ability Power."
DA_Deathblade,Deathblade,Completed,"{""ad"": 50, ""damage_amp_percent"": 8}","Grants massive Attack Damage and flat damage amplification."
DA_DragonsClaw,Dragon's Claw,Completed,"{""mr"": 65}","Gain 9% max health. Every 2 seconds, heal 2.5% max Health."
DA_EdgeOfNight,Edge of Night,Completed,"{""ad"": 10, ""armor"": 20}","At 60% Health, briefly become untargetable and shed negative effects."
DA_Evenshroud,Evenshroud,Completed,"{""mr"": 20, ""hp"": 150}","30% Sunder enemies within 2 hexes. Gain 25 Armor and Magic Resist for the first 15 seconds of combat. Sunder: Reduce Armor"
DA_GargoyleStoneplate,Gargoyle Stoneplate,Completed,"{""armor"": 30, ""mr"": 30, ""hp"": 100}","Gain 10 Armor and 10 Magic Resist for each enemy targeting the holder."
DA_GiantSlayer,Giant Slayer,Completed,"{""ad"": 25, ""ap"": 25, ""as_percent"": 10}","Gain 15% additional Damage Amp against Tanks."
DA_GuinsoosRageblade,Guinsoo's Rageblade,Completed,"{""ap"": 10, ""as_percent"": 15}","Grants 7% stacking Attack Speed every second."
DA_HandOfJustice,Hand of Justice,Completed,"{""mana"": 15, ""crit_percent"": 20}","Gain 2 effects: • 15% Attack Damage and 15 Ability Power. • 12% Omnivamp. Attack Damage and Ability Power are doubled above 50% health, and Omnivamp is doubled below 50% health."
DA_HextechGunblade,Hextech Gunblade,Completed,"{""ad"": 15, ""ap"": 15, ""omnivamp_percent"": 20}","Heal the lowest percent Health ally for 20% of damage dealt."
DA_InfinityEdge,Infinity Edge,Completed,"{""ad"": 35, ""crit_percent"": 35}","Abilities can critically strike. If the holder's abilities can already critically strike, gain 10% Critical Strike Damage instead."
DA_IonicSpark,Ionic Spark,Completed,"{""ap"": 15, ""mr"": 25, ""hp"": 100}","30% Shred enemies within 2 hexes. When enemies cast an Ability, deal magic damage equal to 160% of their maximum Mana. Shred: Reduce Magic Resist"
DA_JeweledGauntlet,Jeweled Gauntlet,Completed,"{""ap"": 35, ""crit_percent"": 35}","Abilities can critically strike. If the holder's abilities can already critically strike, gain 10% Critical Strike Damage instead."
DA_KrakensFury,Kraken's Fury,Completed,"{""as_percent"": 15, ""hp"": 150}","Attacks grant 2 bonus Mana, increased to 4 if they critically strike."
DA_LastWhisper,Last Whisper,Completed,"{""ad"": 15, ""as_percent"": 20, ""crit_percent"": 20}","Physical damage 30% Sunders the target for 3 seconds. This effect does not stack. Sunder: Reduce Armor"
DA_Morellonomicon,Morellonomicon,Completed,"{""ap"": 25, ""hp"": 150, ""as_percent"": 10}","Attacks and Abilities deal 1% Burn and 33% Wound to enemies for 10 seconds. Burn: Deals a percent of the target's max Health as true damage every second. Wound: Reduces healing received"
DA_NashorsTooth,Nashor's Tooth,Completed,"{""as_percent"": 10, ""hp"": 150, ""ap"": 10}","After casting an Ability, gain 40% Attack Speed for 5 seconds."
DA_ProtectorsVow,Protector's Vow,Completed,"{""armor"": 20, ""mana"": 15}","Combat Start: Gain 20 Mana. At 40% Health, gain 15 Mana and a Shield equal to 20% max Health."
DA_Quicksilver,Quicksilver,Completed,"{""mr"": 30, ""crit_percent"": 20, ""as_percent"": 20}","Combat Start: Gain immunity to crowd control for 18 seconds. Gain 3% stacking Attack Speed every second."
DA_RabadonsDeathcap,Rabadon's Deathcap,Completed,"{""ap"": 50, ""damage_amp_percent"": 20}","Grants massive bonus Ability Power."
DA_RedBuff,Red Buff,Completed,"{""as_percent"": 35, ""damage_amp_percent"": 6}","Attacks and Abilities 1% Burn and 33% Wound enemies for 5 seconds. Burn: Deals a percent of the target's maximum Health as true damage every second. Wound: Reduces healing received"
DA_SpearOfShojin,Spear of Shojin,Completed,"{""ad"": 15, ""mana"": 15, ""ap"": 15}","Attacks grant 5 bonus Mana."
DA_SpiritVisage,Spirit Visage,Completed,"{""hp"": 150, ""mr"": 15, ""mana"": 15}","Restore 2.5% of missing Health each second."
DA_SteadfastHeart,Steadfast Heart,Completed,"{""armor"": 20, ""crit_percent"": 20, ""hp"": 200}","Gain 10% Durability. While above 50% Health, instead gain 18% Durability."
DA_SteraksGage,Sterak's Gage,Completed,"{""ad"": 15, ""hp"": 150}","At 60% Health, gain a Shield equal to 50% of the wearer's maximum Health that rapidly decays over 4 seconds."
DA_StrikersFlail,Striker's Flail,Completed,"{""hp"": 150, ""mr"": 20, ""as_percent"": 10}","Attacks grant 3.5% stacking Attack Damage, up to 15 attacks. After 15 attacks, gain 30% Attack Speed."
