patch_version,patch_release_utc,patch_end_utc
TFT 16.2,2026-01-08 14:00:00,2026-01-22 13:59:59
TFT 16.3,2026-01-22 14:00:00,2026-02-04 13:59:59
TFT 16.4,2026-02-04 14:00:00,2026-02-18 13:59:59
TFT 16.5,2026-02-18 14:00:00,2026-03-04 13:59:59
TFT 16.6,2026-03-04 14:00:00,2026-03-18 13:59:59
TFT 16.7,2026-03-18 14:00:00,2026-04-01 13:59:59
TFT 16.8,2026-04-01 14:00:00,2026-04-15 13:59:59
TFT 17.1,2026-04-15 14:00:00,2026-04-29 13:59:59
TFT 17.2,2026-04-29 14:00:00,2026-05-13 13:59:59
TFT 17.3,2026-05-13 14:00:00,2026-05-28 13:59:59
TFT 17.4,2026-05-28 14:00:00,2026-06-10 13:59:59
TFT 17.5,2026-06-10 14:00:00,2026-06-24 13:59:59
TFT 17.6,2026-06-24 14:00:00,2026-07-15 13:59:59
TFT 17.7,2026-07-15 14:00:00,2026-07-29 13:59:59
TFT 17.8,2026-07-29 14:00:00,2026-08-12 13:59:59
TFT 17.9,2026-08-12 14:00:00,2026-08-26 13:59:59
TFT 18.1,2026-08-26 14:00:00,2026-09-01 13:59:59
TFT 18.1d,2026-09-01 14:00:00,2026-09-10 13:59:59
TFT 18.2,2026-09-10 14:00:00,2026-09-23 13:59:59
TFT 18.3,2026-09-23 14:00:00,2026-10-07 13:59:59
TFT 18.4,2026-10-07 14:00:00,2026-10-21 13:59:59
TFT 18.5,2026-10-21 14:00:00,2026-11-04 13:59:59
TFT 18.6,2026-11-04 14:00:00,2026-11-11 13:59:59
TFT 18.6B,2026-11-11 14:00:00,2026-12-01 13:59:59
TFT 19.1,2026-12-01 14:00:00,2026-12-15 13:59:59
TFT 19.2,2026-12-15 14:00:00,2099-12-31 23:59:59
